"venue_id","venue_name","venue_address","venue_city","venue_state","venue_country","venue_postal_code","venue_latitude","venue_longitude","seatmap_url","parking_info","current_date"
"KovZpaFPje","Irving Plaza Powered By Verizon 5G","17 Irving Place","New York","NY","US","10003","40.734917","-73.9884469","https://mapsapi.tmol.io/maps/geometry/3/event/00006107D15D5A35/staticImage?type=png&systemId=HOST","Irving Plaza has partnered with ParkWhiz to offer easy and reliable options. Click here to book parking: https://www.parkwhiz.com/irving-plaza-parking/?utm_medium=LiveNation&utm_source=1269&utm_campaign=Web_LN_ParkingPage_VenueLink","2024-10-22"
"KovZpZAEk6IA","Bogart's","2621 Short Vine Street","Cincinnati","OH","US","45219","39.129949","-84.508882","https://mapsapi.tmol.io/maps/geometry/3/event/160060A703226A1D/staticImage?type=png&systemId=HOST","Pay parking lots are available across from and behind the building. Metered parking is available on the street (Free Sunday, holidays, and weekdays after 6pm). Please note that Bogart's does not operate any parking lots. Bogart's is also very accessible for rideshares. Additionally, Bogart's has partnered with ParkWhiz to offer other parking options that can be booked in advance.","2024-10-22"
"KovZpZAEkFtA","Toyota Oakdale Theatre","95 South Turnpike Road","Wallingford","CT","US","06492","41.4486599","-72.846188","https://mapsapi.tmol.io/maps/geometry/3/event/1D006130BC6510EF/staticImage?type=png&systemId=HOST","All parking is on site. General parking is included in the price of your ticket. Premier parking is located in the lot closest to the main entrance of the facility for an additional charge and may be purchased in advance at all points of sale. Premier parking may also be purchased just prior to show time at the entrance to the lot. Sales are cash only and are subject to availability. Parking for the disabled is located in the spaces directly in front of the theater for no additional charge and is available to patrons who possess a handicapped parking sticker, hang tag or license plate.","2024-10-22"
"KovZpZA16lAA","Jefferson Theater","110 E. Main St.","Charlottesville","VA","US","22902","38.03066678","-78.48125473","https://mapsapi.tmol.io/maps/geometry/3/event/010060CDB2645071/staticImage?type=png&systemId=HOST",,"2024-10-22"
"KovZpZAJ6lvA","Ace of Spades","1417 R St.","Sacramento","CA","US","95811","38.569993","-121.49087928","https://mapsapi.tmol.io/maps/geometry/3/event/1C00606FD1576832/staticImage?type=png&systemId=HOST","Nearby street parking is available. Additonal Parking is available for $5/space at the SEIU parking lot on R Street between 13th & 14th Streets after 5:00PM seven days a week.","2024-10-22"
"KovZpZAE6eeA","The Fillmore","1805 Geary Boulevard","San Francisco","CA","US","94115","37.7842392","-122.4332936","https://maps.ticketmaster.com/maps/geometry/3/event/1C0060F892C73B88/staticImage?type=png&systemId=HOST","The Fillmore does not have a parking lot. Street parking and several public parking facilities are located nearby. Car break-ins are city-wide problem. Please do not leave any valuables in your car.","2024-10-22"
"KovZ917AinI","The Atlantis","2047 9th St NW","Washington","DC","US","20001","38.91819","-77.02241","https://mapsapi.tmol.io/maps/geometry/3/event/150060DBF56864A0/staticImage?type=png&systemId=HOST",,"2024-10-22"
"KovZpZAE7aIA","Addition Financial Arena","12777 Gemini Blvd","Orlando","FL","US","32816","28.6064557","-81.1985302","https://maps.ticketmaster.com/maps/geometry/3/event/220060F095240F94/staticImage?type=png&systemId=HOST","Parking is located North and South of the building. Accessible Parking is located at the garages. Day of charge varies by event, please check Venue website prior to arrival for pricing. This ticket licenses the holder to park one vehicle as directed. the management entities, UCFAA and Spectra, the UCFCC, and UCF hereby declare themselves NOT RESPONSIBLE for and assumes no Liability arising from fire, theft, damage to or loss of the vehicle or any article left therein. ONLY A LICENSE OF SPACE IS GRANTED HEREBY AND NO BAILMENT CREATED. Acceptance of the ticket constitutes acknowledgment by the holder that he or she has read and agrees to the provisions of the contract. Management reserves the right to move vehicles at owner's expense when in our opinion it is necessary. LOCK VEHICLES. NO RE-ENTRY. NO REFUNDS.","2024-10-22"
"KovZpZAE7IJA","Iron City","513 22nd Street South","Birmingham","AL","US","35233","33.508899","-86.797919","https://mapsapi.tmol.io/maps/geometry/3/event/2000611EA9C5249E/staticImage?type=png&systemId=HOST",,"2024-10-22"
"KovZ917Ai5U","White Oak Music Hall - Upstairs ","2915 N Main St,","Houston","TX","US","77009","29.78627","-95.36562","https://mapsapi.tmol.io/maps/geometry/3/event/3A00611BB2F95418/staticImage?type=png&systemId=HOST",,"2024-10-22"
