"event_id","venue_id","segment_id","genre_id","subgenre_id","type_id","subtype_id","promoter_id","box_office_phone_number","box_office_open_hours","box_office_accepted_payment","box_office_will_call_detail","min_price","max_price","average_price","price_currency","event_date","sales_duration_days","event_sales_start_date","event_sales_end_date","current_date"
"17k8vOG612OBV60","KovZpZAE617A","KZFzniwnSyZfZ7v7nJ","KnvZfZ7vAv1","KZazBEonSMnZfZ7vaa1","KZAyXgnZfZ7v7nI","KZFzBErXgnZfZ7v7lJ","830","Northwest side of Footprint Center in the Pavilion.(602)379-7800 Suns Game Nights call (602)379-7867","The Footprint Center ticket office will be open at 3pm on weekday events and three (3) hours prior to event time for weekends. For any further questions or ticket inquiries, please reach out to feedback@suns.com or call the Footprint Center ticket office at (602) 379-7800.","The Footprint Center accepts the following methods of payment at the Box Office:VISA MASTERCARD DISCOVER AMERICAN EXPRESS CASH, PHX ARENA NO LONGER ACCEPTS CHECKS","The WILL CALL windows open two hours prior to events and are located on the Northwest side of the building in the Pavilion. WILL CALL PICK-UP: The Footprint Center requires that customers picking up WILL CALL tickets furnish the following: 1) PICTURE IDENTIFICATION THAT MATCHES THE PICK-UP NAME 2) CONFIRMATION NUMBER THAT MATCHES THE CUSTOMER ACCOUNT ALTERNATE WILL CALL PICK-UP: If another person, other than the person ordering and paying for the tickets, is picking up a WILL CALL order, the ALTERNATE PICK-UP name MUST be on the account. To get the alternate pick-up name noted on the account, the original purchaser MUST contact Ticketmaster at (1-800-745-3000), ask for customer service to verify account information and request alternate pick-up.","54.5","244.5","149.5","USD","2024-10-05 03:00:00.000","852","2024-05-17 17:00:00.000","2026-09-17 05:00:00.000","2024-10-16"
"vvG17Zb2xc1dUX","KovZpZAEA7eA","KZFzniwnSyZfZ7v7nJ","KnvZfZ7vAv1","KZazBEonSMnZfZ7vaa1","KZAyXgnZfZ7v7nI","KZFzBErXgnZfZ7v7lJ","653","1-888-693-2583 Skip the service fees. Buy tickets at the box office!","House of Blues box office opens day of show ONLY starting one hour prior to doors. House of Blues tickets are available in advance via web and at The Orpheum box office: One Hamilton Place, Boston MA (off Tremont Street, Park Street T stop) 10AM to 5PM Monday to Saturday","Cash, MasterCard, Visa, Discover, American Express, House of Blues Gift Certificates. Credit card purchase requires valid matching photo ID.","Will Call is available 1hour prior to door time. Customer must present their valid photo ID and actual credit card used for purchase. Name on ID must match credit card used.","35.0","55.0","45.0","USD","2024-10-15 23:00:00.000","74","2024-08-02 14:00:00.000","2024-10-16 01:00:00.000","2024-10-16"
"vvG17ZbC6rcMMU","KovZpapwne","KZFzniwnSyZfZ7v7nJ","KnvZfZ7vAv1","KZazBEonSMnZfZ7vaa1","KZAyXgnZfZ7v7nI","KZFzBErXgnZfZ7v7lJ","653","(617)562-8801 Skip the service fees. Buy tickets at the box office!","Advance Tickets may be purchased in person at the Paradise Rock Club Box Office, Monday - Saturday Noon to 6pm by cash or visa. Tickets can also be purchased on show days at the Brighton Music Hall box office starting 1 hour before showtime.","Cash and Visa.","Will Call can be picked up 1 hour prior to show time. Customer must present the actual credit card used to place the order and a valid photo ID.","20.0","20.0","20.0","USD","2024-10-15 23:00:00.000","97","2024-07-10 14:00:00.000","2024-10-16 01:00:00.000","2024-10-16"
"vvG1bZb10fjF60","KovZpa3eBe","KZFzniwnSyZfZ7v7nJ","KnvZfZ7vAv1","KZazBEonSMnZfZ7vaa1","KZAyXgnZfZ7v7nI","KZFzBErXgnZfZ7v7lJ","653",,,,,"25.0","42.5","33.75","USD","2024-10-15 23:00:00.000","151","2024-05-17 15:00:00.000","2024-10-16 01:00:00.000","2024-10-16"
"vvG1YZbFJVC-TT","KovZpZAEAF7A","KZFzniwnSyZfZ7v7nJ","KnvZfZ7vAv1","KZazBEonSMnZfZ7vaa1","KZAyXgnZfZ7v7nI","KZFzBErXgnZfZ7v7lJ","675","HOB Dallas Main Number is (214) 978-2583. Press option 3 for Box Office.","The Box Office is only open on show days. The window will open 2 hours prior to door time. Doors open 1 hour prior to showtime. This is subject to change depending on the event organizer.","Box Office accepts: CASH, VISA, MASTERCARD, AMERICAN EXPRESS, DISCOVER, DINER'S CLUB","Will Call tickets can be picked up at the Box Office, starting 1 hour prior to Door Time. Customer must present acutual credit card, confirmation number, and photo ID.","40.0","59.5","49.75","USD","2024-10-16 00:00:00.000","179","2024-04-19 17:00:00.000","2024-10-16 02:00:00.000","2024-10-16"
"17FZvOG6uh9nsD4","KovZpZAEkaaA","KZFzniwnSyZfZ7v7nJ","KnvZfZ7vAv1","KZazBEonSMnZfZ7vaa1","KZAyXgnZfZ7v7nI","KZFzBErXgnZfZ7v7lJ","653","205-985-0703 Upcoming show information","For the safety of our employees and guests, the box office will be closed until further notice. Please keep checking back here for updates as to when we re-open. We appreciate your understanding.","Cash, Visa, Mastercard & AMEX","Located at the Box Office. Opens 2 hours prior to showtime on the night of show only. PLEASE BRING A PICTURE ID, THE ACTUAL CREDIT CARD USED TO PURCHASE THE TICKETS, AND YOUR ORDER NUMBER.","89.5","199.5","144.5","USD","2024-10-16 01:00:00.000","106","2024-07-01 15:00:00.000","2024-10-16 03:00:00.000","2024-10-16"
"G5vzZb8ry_eUM","KovZpZAJk7IA","KZFzniwnSyZfZ7v7nJ","KnvZfZ7vAv1","KZazBEonSMnZfZ7vaa1","KZAyXgnZfZ7v7nI","KZFzBErXgnZfZ7v7lJ","675","(801) 456-2800","The Depot box office opens at 6:00PM on show nights (Excluding club nights and special events). Tickets for all upcoming events can be purchased at that time. There is a convenience fee of $3 per ticket at the box office.","The venue accepts the following methods of payment: Cash, VISA, Mastercard, AMX, Discover.","Will call tickets can only be picked up at the venue Box Office on the night of the event. Acceptable forms of identification include: a valid passport, a valid U.S. driver's license or military identification card with a date of birth and a photo, or an official U.S. state issued identification card. Please note that will call tickets will not be distributed prior to the day of the event.","32.5","32.5","32.5","USD","2024-10-16 01:00:00.000","60","2024-08-16 16:00:00.000","2024-10-16 03:00:00.000","2024-10-16"
"G5vYZbu3DdVcT","KovZpaKope","KZFzniwnSyZfZ7v7nJ","KnvZfZ7vAv1","KZazBEonSMnZfZ7vaa1","KZAyXgnZfZ7v7nI","KZFzBErXgnZfZ7v7lJ","824",,,,"Will call available for pickup at showtime.","79.5","79.5","79.5","USD","2024-10-16 02:30:00.000","88","2024-07-19 17:00:00.000","2024-10-16 02:30:00.000","2024-10-16"
"17k8vOG6C5OBV_C","KovZpZAdlFFA","KZFzniwnSyZfZ7v7nJ","KnvZfZ7vAv1","KZazBEonSMnZfZ7vaa1","KZAyXgnZfZ7v7nI","KZFzBErXgnZfZ7v7lJ","823",,,,,"25.0","25.0","25.0","USD","2024-10-16 03:00:00.000","95","2024-07-12 17:00:00.000","2024-10-16 05:00:00.000","2024-10-16"
"17AOvOG6CkBa7Ol","KovZpaFnje","KZFzniwnSyZfZ7v7nJ","KnvZfZ7vAv1","KZazBEonSMnZfZ7vaa1","KZAyXgnZfZ7v7nI","KZFzBErXgnZfZ7v7lJ","494","(502) 690-9090","10:00AM-5:00PM Monday-Friday 10:00AM-5:00PM Saturday event days or on sales 12:00PM-5:00PM Sunday event days or on sales *If there is not an event or on sale, the ticket office is closed on Saturday and Sunday*","The Box Office accepts Visa, Mastercard,American Express, Discover, money orders,and cash.","Will Call tickets can be picked up at the Box Office 2 hours prior to show time. Customer must present the actual credit card, a picture ID and the confirmation number.","53.0","215.0","134.0","USD","2024-10-16 23:00:00.000","75","2024-08-02 14:00:00.000","2024-10-17 01:00:00.000","2024-10-16"
